ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
4145,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,PUT,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/name1/email,401,Unauthorized,22,156,69
4146,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/register,200,OK,50,146,92
4147,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,PUT,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/name1/password,401,Unauthorized,25,156,47
4148,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/login,200,OK,28,146,74
4149,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/books/v1,401,Unauthorized,21,156,47
4150,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,PUT,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/name1/email,401,Unauthorized,21,156,69
4151,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/login,200,OK,26,146,74
4152,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/books/v1,401,Unauthorized,117,156,47
4153,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,PUT,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/name1/password,401,Unauthorized,119,156,47
4154,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,PUT,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/name1/email,401,Unauthorized,116,156,69
4155,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/login,200,OK,99,146,74
4156,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/register,200,OK,134,146,92
4157,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/books/v1,401,Unauthorized,24,156,47
4158,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/login,200,OK,24,146,74
4159,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/books/v1,401,Unauthorized,21,156,47
4160,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/login,200,OK,23,146,74
4161,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/users/v1/register,200,OK,50,146,92
4162,Sun Oct 13 12:32:46 AEDT 2024,Sun Oct 13 12:32:46 AEDT 2024,POST,https://devops-test-app.gentlemoss-81053a1b.australiaeast.azurecontainerapps.io/books/v1,401,Unauthorized,22,156,47
